username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-02-10 12:31;0;0;"My Valentine's swap box from my fb group http:// im.in , got spoiled @TooFaced white peach palette @fentybeauty Hustla Baby highlighter @beautyblender another black one @Maccosmetics18 and @patrickstarrr powder plus tones of other goodies, not bad for a $100 box pic.twitter.com/tJj61b9e3E";;@TooFaced @fentybeauty @beautyblender @Maccosmetics18 @patrickstarrr;;"962393554126540800";https://twitter.com/EllieCasados/status/962393554126540800
;2018-02-10 05:17;0;0;"I cut off the bottom of my @beautyblender cause it hardened up a bit ( which is normal after months of use ) don't judge , ya girl is trying to save some cash for vacation and my own flat hopefully soon pic.twitter.com/cMEOBmF2nn";;@beautyblender;;"962284447574953984";https://twitter.com/PewPeeew/status/962284447574953984
;2018-02-09 10:18;0;0;"Beauty Encounter Promo Offers from Archipelago, BeautyBlender , & KMS - Get Details: http:// makeupbonuses.com/2018/02/09/bea uty-encounter-promo-offers-from-archipelago-beautyblender-kms/ … #BeautyEncounter @BeautyEncounter #BeautyBlender #archipelagobotanicals #shoparchipelago #KMSHairUS #BEAUTY #PROMO #OFFER pic.twitter.com/498DvHScoL";;@BeautyEncounter;#BeautyEncounter #BeautyBlender #archipelagobotanicals #shoparchipelago #KMSHairUS #BEAUTY #PROMO #OFFER;"961997778414198790";https://twitter.com/MakeupBonuses/status/961997778414198790
;2018-02-07 06:45;0;2;"In love with my @beautyblender & @morphebrushes beauty sponge? YASSS GIRL YASSS! http:// cherilyndoes.com/2018/02/07/rev isiting-the-beauty-blender/ … pic.twitter.com/bgS1XQBjFF";;@beautyblender @morphebrushes;;"961219274688946176";https://twitter.com/cherilyn_does/status/961219274688946176
;2018-02-06 02:58;0;1;"Quante di voi usano le @beautyblender ? Per il correttore ormai sono diventate in must have Comodissime da portare in viaggio, pratiche e efficienti. Finito il makeup le lavo con il sapone detergente che uso per le mani, naturalmente Bio! #beaut … http:// ift.tt/2E3773z pic.twitter.com/aHp66eBoEM";;@beautyblender;#beaut;"960799749279502336";https://twitter.com/marycliath98/status/960799749279502336
;2018-02-06 02:10;0;2;"Genial! Tomo nota";;;;"960787816920870912";https://twitter.com/rinconderachel/status/960787816920870912
;2018-02-06 01:54;1;0;"#preorder Too faced- TOO FACED X BEAUTYBLENDER BEAUTY'S BESTIES 1,550.- ลทบ 30/ ems 50/ นัดรับสยาม #ชี้เป้าโปรถูก #พรีออเดอร์ #howtoperfect #ถูกและดี #พื้นที่ขายของ #ของมันต้องมี #ถูกและดีบอกต่อ pic.twitter.com/WG37WVX6xJ";;;#preorder #ช #พร #howtoperfect #ถ #พ #ของม #ถ;"960783862799376385";https://twitter.com/cosmeww/status/960783862799376385
;2018-02-06 01:39;0;3;"A tener en cuenta!";;;;"960780000076140544";https://twitter.com/chuspons/status/960780000076140544
;2018-02-05 23:46;0;0;"with your beautyblender How to Apply Makeup Foundation http:// newbieto.com/makeup/with-yo ur-beautyblender-how-to-apply-makeup-foundation/ …";;;;"960751633142616064";https://twitter.com/NewbieTo/status/960751633142616064
;2018-02-12 14:11;1;9;"This year we're going to love ourselves! #chillitsjustmakeup - http:// ift.tt/2o1DOaG";;;#chillitsjustmakeup;"963143484264861697";https://twitter.com/beautyblender/status/963143484264861697
;2018-02-12 12:02;0;1;""Koh Gen Do Maifanshi Aqua Foundation is perfect — it has coverage but if you don’t use a lot and if you apply it with a damp Beautyblender it goes on very sheer. I love freckles and skin and Dakota has beautiful skin — why hide it?" - Evelyne Noraz, Makeup Dept. Head pic.twitter.com/5DENVE5c8u";;;;"963111195828920320";https://twitter.com/Koh_Gen_Do/status/963111195828920320
;2018-02-10 11:03;0;0;"@beautyblender I wash my beauty blender at least once a week and there was still a bubble of product at the bottom and today it finally popped off. I’ve only had this for a few months and this is my first beauty blender to have broken. Why??? pic.twitter.com/fQBhOY6iuh";;@beautyblender;;"962371426631249920";https://twitter.com/Lexxiiii_xxo/status/962371426631249920
;2018-02-10 03:23;0;0;"New post ( beautyblender blotterazzi pro: Reusable Blotting Pads with Mirrored Compact) has been published on Style 360 - http://www. style360.info/beautyblender- blotterazzi-pro-reusable-blotting-pads-with-mirrored-compact/ … pic.twitter.com/Ewhz47ZDFC";;;;"962255594085269504";https://twitter.com/TheStyle360/status/962255594085269504
;2018-02-09 18:40;0;0;"@Tashcosmetics Eye Candy loose shadow in Yellow @Prestige_us Vinyl liquid eyeliner @Salonperfect 615 and 614 lashes stacked @profusion strobe & glow palette @profusion 5 shade contour palette @benefitcosmetics Hoola Bronzer @beautyblender pic.twitter.com/67jJMUmKoP";;@Tashcosmetics @Prestige_us @Salonperfect @profusion @profusion @benefitcosmetics @beautyblender;;"962123952159166464";https://twitter.com/Jennifinii/status/962123952159166464
;2018-02-09 14:05;3;9;"We don't cook. We bake. #chillitsjustmakeup - http:// ift.tt/2nPZ4Bg";;;#chillitsjustmakeup;"962054958970372096";https://twitter.com/beautyblender/status/962054958970372096
;2018-02-09 06:26;0;0;"Perfect #ysl #YvesSaintLaurent #beautyblender #cubus #beauty #fashion #testowanie pic.twitter.com/vpmLeMcjzq";;;#ysl #YvesSaintLaurent #beautyblender #cubus #beauty #fashion #testowanie;"961939277998370816";https://twitter.com/annthka/status/961939277998370816
;2018-02-08 09:42;0;1;"The Beauty Closet's Top 7 Beauty Picks for Valentine's Day! https:// buff.ly/2EfhNiQ #TheBeautyCloset #Valentine 'sDay #beauty #skincare #bbloggers #beautyblender #sephora #sephorafavorites #ZoellaBeauty #BronxColors #Pacifica #Grigibag pic.twitter.com/6lPpUoQ4qi";;;#TheBeautyCloset #Valentine #beauty #skincare #bbloggers #beautyblender #sephora #sephorafavorites #ZoellaBeauty #BronxColors #Pacifica #Grigibag;"961626199473737728";https://twitter.com/ladybuggirlqtee/status/961626199473737728
;2018-02-08 04:13;0;4;"Did you see my “BEAUTY BUZZ - Cala Urban Studio Flawless Blend Duo Make-Up Blending Sponges” post? If you missed it, go take a look - http:// tinyurl.com/BBuzz1 - I this sponge! It’s the closer I’ve ever found compared to the original beautyblender @CalaProducts @Dischem #sponges pic.twitter.com/IMxWYU5prY";;@CalaProducts @Dischem;#sponges;"961543380948971520";https://twitter.com/PopcornAndPearl/status/961543380948971520
;2018-02-07 06:23;1;2;"The Super Serums: Feel rejuvenated after using Rest & Revive. More tips in our blog. Link below - https://www. mzskin.com/blog/super-ser ums-serum-part-skincare-regime … #SuperSerums #MZSkin #MZBeauty #drmaryamzamani #cosmetic #beautyblog #bbloggers #beautycare #antiaging #serums #beautyblender #WednesdayWisdom pic.twitter.com/HTW29jfq5x";;;#SuperSerums #MZSkin #MZBeauty #drmaryamzamani #cosmetic #beautyblog #bbloggers #beautycare #antiaging #serums #beautyblender #WednesdayWisdom;"961213742573932546";https://twitter.com/MZSkinOfficial/status/961213742573932546
;2018-02-06 03:08;0;1;"Todo a tener muy en cuenta!!!";;;;"960802243963510784";https://twitter.com/CarmenMarySM/status/960802243963510784
;2018-02-06 02:20;0;2;"mola bombon";;;;"960790331104034817";https://twitter.com/masqueropa/status/960790331104034817
;2018-02-05 23:44;0;3;"Gn collab #mua #makeup #makeupart #makeupartist #makeupartists #makeupbyme #smashbox #urbandecay #sephora #katvond #lauramercier #toofaced #ofra #hudabeauty #inglot #nyx #ardell #dollarlashclub #beautyblender #makeupforever #tarte pic.twitter.com/PYR1Cn0QZp";;;#mua #makeup #makeupart #makeupartist #makeupartists #makeupbyme #smashbox #urbandecay #sephora #katvond #lauramercier #toofaced #ofra #hudabeauty #inglot #nyx #ardell #dollarlashclub #beautyblender #makeupforever #tarte;"960750920383500288";https://twitter.com/NikoleMakeup/status/960750920383500288
;2018-02-05 23:15;0;0;"Pop beautyblender in oranje http:// lifestylelady.nl/2018/02/06/pop -beautyblender-oranje/ …";;;;"960743695715917824";https://twitter.com/lifestylelady1/status/960743695715917824
;2018-02-05 20:31;0;0;"JACLYN HILL X MORPHE . Products Used: Brows: @ABHcosmetics @norvina Dipbrow Pomade // Medium Brown Eyes: @MorpheBrushes X @Jaclynhill Palette . Tools Used: 2 @MorpheBrushes @elfcosmetics @beautyblender . VIDEO COMING SOON. pic.twitter.com/lZNtdC85rx";;@ABHcosmetics @norvina @MorpheBrushes @Jaclynhill @MorpheBrushes @elfcosmetics @beautyblender;;"960702457339957248";https://twitter.com/LKMBeauty_/status/960702457339957248
;2018-02-05 20:31;0;0;"ハリウッドで活躍するメイクアップアーティスト達が 愛用 メイクアップ を変える 究極の スポンジ ☆ https:// thecontents.thebase.in/items/4940654 #beautyblender #メイク #beauty #セレブ #ハリウッド";;;#beautyblender #メイク #beauty #セレブ #ハリウッド;"960702383717154816";https://twitter.com/THE_CONTENTS_JP/status/960702383717154816
;2018-02-05 19:46;0;0;"@beautyblender I was so excited to try out your original Beauty Blender but when I wet the sponge, hot pink dye embeds itself onto all my bathroom surfaces. I'm very disappointed. Can you please advise on how to remove the stain and avoid in the future?";;@beautyblender;;"960691057636839424";https://twitter.com/RachelRWeinberg/status/960691057636839424
;2018-02-09 20:34;0;4;"Didnt know @beautyblender is hispanic owned, thats dope";;@beautyblender;;"962152783792111617";https://twitter.com/faviolaedith/status/962152783792111617
;2018-02-09 16:24;0;1;"I’m a survivor";;;;"962089733915426816";https://twitter.com/__melissssaaa/status/962089733915426816
;2018-02-09 16:07;7;36;"Když se ti narodí beautyblender @hopelessyoungod @veronicayk @nevimhaha @pan_bramburka @matejsiskin @goldadamsb pic.twitter.com/hbOk64B4sz";;@hopelessyoungod @veronicayk @nevimhaha @pan_bramburka @matejsiskin @goldadamsb;;"962085559341592576";https://twitter.com/poradmala/status/962085559341592576
;2018-02-09 15:46;0;0;"Repost from trendmood1 ..... There is a NEW #BeautyBlender in Town Available Now!! Online… https://www. instagram.com/p/Be_dRFqH-QW/";;;#BeautyBlender;"962080188690550790";https://twitter.com/LashLoveMakeup/status/962080188690550790
;2018-02-09 14:57;0;0;"My beautyblenders new home and friend blendercleanser! #beautyblender #blendercleanser #wishapp … https://www. instagram.com/p/Be_XqlrAWBF/";;;#beautyblender #blendercleanser #wishapp;"962067853569441793";https://twitter.com/debbiesworld57/status/962067853569441793
;2018-02-09 13:52;0;1;"Issa new #beautyblender the #beautyblusher for your cheeks!!! I @beautyblender #mue … https://www. instagram.com/p/Be_QOrgFpZD/";;@beautyblender;#beautyblender #beautyblusher #mue;"962051694296100872";https://twitter.com/cstaylormakeup/status/962051694296100872
;2018-02-09 00:48;0;1;"I can’t live without All I use... tried other ones, nothing comes close. @beautyblender … https://www. instagram.com/p/Be92hFxAfRJ/";;@beautyblender;;"961854219736133632";https://twitter.com/lanaXwalker_/status/961854219736133632
;2018-02-08 14:56;0;0;"FACT! Did you know that the now iconic original beautyblender wasn’t always planned to be pink? The magenta colour was used on a prototype but Rea Ann loved it so much she decided to keep it pink. The ultimate happy accident! #beautyblender pic.twitter.com/kT1LSmXEJ9";;;#beautyblender;"961705389275467776";https://twitter.com/beautyblenderUK/status/961705389275467776
;2018-02-08 14:37;1;1;"Challenge video!! Maybe like a full face using a beautyblender or one brush?";;;;"961700517230661635";https://twitter.com/zahraklakhani/status/961700517230661635
;2018-02-07 13:08;0;2;"Want to win this prize pack of goodies?! Head over to our Insta to enter! #beautyblender pic.twitter.com/PkoNExGlhP";;;#beautyblender;"961315667248107521";https://twitter.com/beautyblenderUK/status/961315667248107521
;2018-02-07 00:45;0;0;"#10: beautyblender chill, Makeup Sponge For Foundations, Powders & Creams: beautyblender chill… https:// goo.gl/fb/6x5MKp #Bath #Shower";;;#10 #Bath #Shower;"961128709527887873";https://twitter.com/Bath_Bathing_Ac/status/961128709527887873
;2018-02-06 09:44;0;1;"Esa toalla me ha encantado";;;;"960902125529305089";https://twitter.com/elisacreams/status/960902125529305089
;2018-02-06 02:13;0;2;"Muy buenos!";;;;"960788638605946880";https://twitter.com/cincuentayque/status/960788638605946880
;2018-02-05 18:51;0;1;"I’m spoiled! @beautyblender will always be my sponge of choice! It’s like pouncing a cloud on your face!";;@beautyblender;;"960677258301181953";https://twitter.com/naturalglamtay/status/960677258301181953
;2018-02-05 18:18;0;0;"#Repost blackcatdarkrooms ・・・ I should charge for this professional makeup advice @beautyblender https://www. instagram.com/p/Be1Z-JlhZp6/";;@beautyblender;#Repost;"960669039801655296";https://twitter.com/shopladylashes/status/960669039801655296
